# source: https://www.genenames.org/cgi-bin/genefamilies/set/1054
# https://www.genenames.org/cgi-bin/genefamilies/set/1054/download/branch
HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
14478	MRPL20	mitochondrial ribosomal protein L20	Approved		FLJ10024	1p36.33	AB049644	NM_017971	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14479	MRPL21	mitochondrial ribosomal protein L21	Approved			11q13.3	AK096756	NM_181512	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14480	MRPL22	mitochondrial ribosomal protein L22	Approved		MRP-L25, RPML25, HSPC158	5q33.2	AB051622		MRPL, MRPS	Mitochondrial ribosomal proteins	646
10322	MRPL23	mitochondrial ribosomal protein L23	Approved	RPL23L	L23MRP	11p15.5	AB051340	NM_021134	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14037	MRPL24	mitochondrial ribosomal protein L24	Approved		MRP-L18	1q23.1	AB051341	NM_145729	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14483	MRPL27	mitochondrial ribosomal protein L27	Approved			17q21.33	AB049647		MRPL, MRPS	Mitochondrial ribosomal proteins	646
14484	MRPL28	mitochondrial ribosomal protein L28	Approved	MAAT1	p15	16p13.3	U19796		MRPL, MRPS	Mitochondrial ribosomal proteins	646
10379	MRPL3	mitochondrial ribosomal protein L3	Approved	RPML3	MRL3	3q22.1	X06323	NM_007208	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14036	MRPL30	mitochondrial ribosomal protein L30	Approved		MRP-L28, RPML28	2q11.2	AB051342		MRPL, MRPS	Mitochondrial ribosomal proteins	646
14035	MRPL32	mitochondrial ribosomal protein L32	Approved		HSPC283, L32mt, MRP-L32, bMRP-59b	7p14.1	AB051343	NM_031903	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14487	MRPL33	mitochondrial ribosomal protein L33	Approved	C2orf1	RPL33L	2p23.2	AB051623	NM_004891	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14488	MRPL34	mitochondrial ribosomal protein L34	Approved		L34mt, MGC2633, MGC24974	19p13.1	AB049652	NM_023937	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14489	MRPL35	mitochondrial ribosomal protein L35	Approved			2p11.2	AF208849	NM_016622	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14490	MRPL36	mitochondrial ribosomal protein L36	Approved		BRIP1, RPMJ, L36mt, PRPL36, MRP-L36	5p15.33	AB049654	NM_032479	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14034	MRPL37	mitochondrial ribosomal protein L37	Approved		RPML2, MRP-L2	1p32.3	AB051344	NM_016491	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14033	MRPL38	mitochondrial ribosomal protein L38	Approved		RPML3, MRP-L3, HSPC262, MGC4810	17q25.1	AB051345	NM_032478	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14027	MRPL39	mitochondrial ribosomal protein L39	Approved		RPML5, MRP-L5, MGC104174, PRED66, PRED22, C21orf92, L39mt, MSTP003, MGC3400, FLJ20451	21q21.3	AB051346	NM_017446	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14276	MRPL4	mitochondrial ribosomal protein L4	Approved		CGI-28	19p13.2	AB049635		MRPL, MRPS	Mitochondrial ribosomal proteins	646
14491	MRPL40	mitochondrial ribosomal protein L40	Approved	NLVCF	MRP-L22	22q11.21	AB051624	NM_003776	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14492	MRPL41	mitochondrial ribosomal protein L41	Approved		MRP-L27, RPML27, BMRP, PIG3, MRPL27	9q34.3	AB051625	NM_032477	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14493	MRPL42	mitochondrial ribosomal protein L42	Approved		MRPS32, MRP-L31, RPML31, PTD007, HSPC204, MRPL31	12q22	AB051626	NM_014050	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14517	MRPL43	mitochondrial ribosomal protein L43	Approved		bMRP36a	10q24.31	AB049656		MRPL, MRPS	Mitochondrial ribosomal proteins	646
16650	MRPL44	mitochondrial ribosomal protein L44	Approved		FLJ12701, FLJ13990	2q36.1	AK022763	NM_022915	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16651	MRPL45	mitochondrial ribosomal protein L45	Approved		MGC11321	17q12	BC006235	NM_032351	MRPL, MRPS	Mitochondrial ribosomal proteins	646
1192	MRPL46	mitochondrial ribosomal protein L46	Approved	C15orf4	LIECG2, P2ECSL	15q25.3	AF210056	NM_022163	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16652	MRPL47	mitochondrial ribosomal protein L47	Approved		CGI-204, NCM1	3q26.33	AF285120	NM_020409	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16653	MRPL48	mitochondrial ribosomal protein L48	Approved		CGI-118	11q13.4	AF151876	NM_016055	MRPL, MRPS	Mitochondrial ribosomal proteins	646
